Series Name,Series Code,Country,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,4689623,4739105,4789507,4840501,4890125,4938973,4979815,5016105,5055099,5091971,5127097,5161768,5193838,5222840,5250596,5275942,5299187,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5424050
"Population, total",SP.POP.TOTL,Slovenia,SVN,1776132,1793581,1820249,1842377,1862548,1882599,1901315,1906531,1910334,1922321,1932154,1941641,1965964,1989776,1995196,1996351,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063768
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,186338,193447,200642,207942,215353,222905,230614,238488,246502,254602,262719,270809,278846,286868,294962,303258,311849,320764,329984,339490,349250,359236,369438,379859,390489,401319,412336,423535,434893,446352,457841,469306,480716,492075,503410,514767,526177,537648,549162,560685,572171,583591
"Population, total",SP.POP.TOTL,South Africa,ZAF,24189837,24728000,25268094,25805575,26355319,26940793,27576000,28254655,28971839,29724004,30505361,31307880,32121290,32933081,33728498,34490549,35200000,35933108,36690739,37473796,38283223,39120000,40000247,40926063,41899683,42923485,44000000,44909738,45448096,46034026,46641103,47270063,47921682,48596781,49296223,50020918,50771826,51549958,52356381,53192216,54058647,54956920
"Population, total",SP.POP.TOTL,South Asia,SAS,781254784,799620311,818590962,838141522,858266916,878939779,900085240,921521635,943562470,966023576,988878603,1012099768,1035659508,1059536231,1083705645,1108148042,1132833314,1157752321,1182862267,1208123497,1233480616,1258903823,1284343918,1309774343,1335193652,1360594891,1385959570,1411288216,1436527869,1461601023,1486402311,1510864613,1534949611,1558685624,1582147481,1605443788,1628688562,1651888921,1675019307,1698093032,1721152580,1744161298
"Population, total",SP.POP.TOTL,South Sudan,SSD,4015271,4117299,4222056,4329467,4442665,4565912,4701360,4849708,5007145,5165623,5314358,5444907,5559804,5660153,5735170,5771305,5762190,5698998,5593347,5484372,5425099,5452771,5584223,5806951,6092688,6398416,6692999,6967817,7233237,7499695,7784488,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,12339812
"Population, total",SP.POP.TOTL,Spain,ESP,35154338,35530725,35939437,36370050,36872506,37201123,37439035,37740556,37942805,38122429,38278575,38418817,38535617,38630820,38715849,38791473,38850435,38939049,39067745,39189400,39294967,39387017,39478186,39582413,39721108,39926268,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46418269
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,13284000,13496000,13717000,13942000,14190000,14472000,14747000,14847000,15096000,15339000,15583000,15831000,16083000,16339000,16593000,16841000,17078000,17306000,17524000,17728000,17912000,18074000,18210000,18323000,18425000,18532000,18655000,18797000,18939000,19083000,19227000,19373000,19520000,19668000,19817000,19967000,20118000,20270000,20424000,20579000,20771000,20966000
"Population, total",SP.POP.TOTL,St. Lucia,LCA,108534,109770,111211,112826,114551,116292,117984,119593,121150,122738,124468,126416,128620,131032,133532,135954,138180,140159,141934,143592,145262,147040,148962,150994,153066,155073,156949,158650,160218,161767,163462,165407,167656,170146,172729,175196,177397,179278,180890,182305,183645,184999
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,324316627,333222446,342489556,352109622,362076216,372390972,383043891,394021126,405328909,416982682,429008541,441414277,454197298,467337821,480809661,494580339,508616039,523007873,537759561,552842678,568228356,583892679,599858645,616161312,632857149,650030484,667742098,685795280,704004105,722832202,742309449,762476790,783357641,804950450,827239671,850190286,873780170,897998530,922855109,948322378,974371891,1000980981
"Population, total",SP.POP.TOTL,Sudan,SDN,11668674,12075841,12506035,12958110,13429688,13917268,14418063,14935471,15470415,16015120,16559205,17097619,17618852,18130501,18669146,19284633,20008804,20861117,21820588,22829227,23805536,24691970,25466387,26149124,26777059,27406808,28079664,28805142,29569978,30365586,31176209,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,40234882
"Population, total",SP.POP.TOTL,Suriname,SUR,365104,362651,361368,361053,361463,362137,362777,363309,363993,365242,367611,371469,376973,383916,391851,400133,408276,416068,423572,430901,438280,445830,453653,461569,469108,475637,480751,484210,486271,487641,489312,491999,495953,500953,506657,512522,518141,523439,528535,533450,538248,542975
"Population, total",SP.POP.TOTL,Swaziland,SWZ,501596,517100,533264,550135,567560,585335,603373,621314,639333,658496,680253,705492,734790,767417,801350,833787,862728,887248,907947,926224,944223,963428,984506,1006760,1028694,1048151,1063715,1074765,1082195,1087949,1094775,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,1286970
"Population, total",SP.POP.TOTL,Sweden,SWE,8159955,8192437,8222286,8251540,8275599,8293678,8310531,8320503,8325263,8329033,8336605,8350386,8369829,8397804,8436489,8492964,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9798871
"Population, total",SP.POP.TOTL,Switzerland,CHE,6341405,6338632,6302504,6281174,6281738,6294365,6319408,6354074,6391309,6418773,6441865,6470365,6504124,6545106,6593386,6646912,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8286976
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,7311685,7564000,7822610,8088148,8363346,8651904,8956156,9277263,9613517,9960833,10313485,10667245,11020718,11374772,11730217,12088714,12451539,12817578,13186187,13559642,13941025,14331962,14736209,15151962,15568797,15972430,16354050,16694414,16997521,17304339,17671913,18132842,18728200,19425597,20097057,20566871,20720602,20501167,19978756,19322593,18772481,18502413
"Population, total",SP.POP.TOTL,Tajikistan,TJK,3313144,3412819,3511050,3608761,3707624,3809991,3917642,4030104,4146923,4269775,4400743,4540688,4690913,4849253,5008827,5160375,5297286,5417554,5523207,5616797,5702611,5784330,5862224,5936780,6012308,6094126,6186152,6290413,6406518,6532871,6666628,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840,8481855
"Population, total",SP.POP.TOTL,Tanzania,TZA,15477155,15980265,16493435,17018013,17556148,18110990,18684893,19279543,19894677,20528465,21178079,21842087,22516809,23204186,23914852,24663284,25458208,26307482,27203865,28122799,29030288,29903329,30733937,31533781,32323953,33135281,33991590,34899062,35855480,36866228,37935334,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,53470420
"Population, total",SP.POP.TOTL,Thailand,THA,41259539,42334954,43386846,44416007,45423442,46412310,47385325,48336894,49265597,50183106,51105438,52041468,53002775,53979503,54933561,55812794,56582824,57225972,57761574,58237672,58722767,59266089,59878955,60544937,61250974,61973957,62693322,63415174,64136669,64817254,65404522,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,67959359
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,661528,661634,650490,630151,606295,586886,577580,580556,593937,614379,636670,657018,674128,689170,703696,720198,740231,764884,792846,820471,842752,856439,859496,853867,845106,841063,847185,865848,894837,929431,962634,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958,1180069,1212107,1245015
"Population, total",SP.POP.TOTL,Togo,TGO,2356623,2410446,2464457,2518566,2576468,2642845,2720838,2812071,2915148,3026378,3140355,3252995,3363448,3472459,3579489,3684309,3786942,3886858,3984356,4081398,4180689,4284286,4392941,4506465,4624826,4747665,4874735,5006223,5142419,5283246,5428552,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719,7115163,7304578
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,997052,1011487,1025655,1039757,1054109,1069199,1085308,1102562,1120610,1138673,1155701,1170935,1184053,1195243,1204890,1213625,1221904,1229906,1237486,1244410,1250316,1255001,1258365,1260677,1262544,1264781,1267980,1272383,1277840,1284052,1290535,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483,1360088
"Population, total",SP.POP.TOTL,Tunisia,TUN,5493722,5611000,5742339,5889693,6049539,6215690,6384000,6555185,6729178,6905136,7042550,7260361,7492633,7684751,7857619,7958694,8154400,8318200,8489900,8572200,8785700,8957500,9089300,9214900,9333300,9455900,9552500,9650600,9748900,9839800,9932400,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500,10996600,11107800
"Population, total",SP.POP.TOTL,Turkey,TUR,38272701,39185637,40100696,41020211,41953105,42912350,43905790,44936836,45997940,47072603,48138191,49178079,50187091,51168841,52126497,53066569,53994605,54909508,55811134,56707454,57608769,58522320,59451488,60394104,61344874,62295617,63240157,64182694,65125766,66060121,66973561,67860617,68704721,69515492,70344357,71261307,72310416,73517002,74849187,76223639,77523788,78665830
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,2452528,2520002,2587417,2655036,2723006,2791575,2861000,2931343,3002785,3075867,3151262,3229499,3310059,3392823,3479088,3570558,3668000,3772350,3881973,3991917,4095512,4188010,4267690,4335991,4395293,4449427,4501419,4551762,4600172,4648036,4696876,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941,5240088,5307188,5373502
"Population, total",SP.POP.TOTL,Uganda,UGA,10533627,10827071,11139772,11470741,11817951,12177677,12547754,12927007,13318149,13727427,14163214,14631089,15133740,15668278,16227778,16802258,17384369,17973428,18571527,19177660,19791266,20412967,21041468,21679497,22336812,23026357,23757636,24534668,25355794,26217760,27114742,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387,37782971,39032383
"Population, total",SP.POP.TOTL,Ukraine,UKR,48455120,48758986,49036202,49290087,49525597,49750150,49968811,50221000,50384000,50564000,50754000,50917000,51097000,51293000,51521000,51773000,51892000,52000470,52150266,52179210,51921041,51512299,51057189,50594105,50143939,49673350,49175848,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45362900,45198200
"Population, total",SP.POP.TOTL,United Kingdom,GBR,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65138232
"Population, total",SP.POP.TOTL,United States,USA,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309346863,311718857,314102623,316427395,318907401,321418820
"Population, total",SP.POP.TOTL,Upper middle income,UMC,1581448281,1610964600,1638999295,1665580708,1692247717,1719305687,1746186708,1773837830,1803775943,1833824547,1863076552,1893121061,1924689464,1957723114,1990854703,2022994388,2053526331,2082311615,2108986861,2134608342,2159928100,2184974343,2209841275,2234712194,2259065071,2282281226,2304421224,2325081408,2344483227,2363610029,2382469218,2401263262,2419694831,2437537213,2455687412,2474451138,2493277491,2512626574,2532680867,2553111667,2573612474,2593742810
"Population, total",SP.POP.TOTL,Uruguay,URY,2824069,2830172,2841436,2857107,2875970,2896021,2915775,2935036,2954281,2973461,2992648,3011907,3031032,3049962,3069094,3088985,3109987,3132048,3154853,3178156,3201604,3224807,3248039,3271014,3292134,3309318,3321242,3327105,3327770,3325637,3324096,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969,3419516,3431555
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,13578783,13980997,14374729,14762133,15148932,15543520,15951899,16375135,16810937,17257774,17712992,18174143,18640558,19111312,19583186,20052259,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31299500
"Population, total",SP.POP.TOTL,Vanuatu,VUT,96793,99879,103024,106223,109429,112579,115634,118578,121433,124248,127094,130028,133040,136129,139369,142852,146633,150779,155242,159814,164209,168236,171802,175004,178074,181346,185058,189288,193957,198963,204144,209375,214635,219956,225335,230782,236299,241876,247498,253165,258883,264652
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,12994025,13360988,13739142,14127790,14525929,14931741,15343917,15761800,16185895,16617343,17057786,17508059,17968530,18437737,18912431,19388262,19861959,20332247,20799471,21263994,21726808,22188671,22649212,23108003,23565734,24023355,24481477,24940223,25399143,25857553,26314483,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045,30693827,31108083
"Population, total",SP.POP.TOTL,Vietnam,VNM,46918000,48030000,49158000,50295000,51436000,52574000,53700000,54722000,55687000,56655000,57692000,58868000,60249000,61750000,63263000,64774000,66016700,67242400,68450100,69644500,70824500,71995500,73156700,74306900,75456300,76596700,77630900,78620500,79537700,80467400,81436400,82392100,83311200,84218500,85118700,86025000,86932500,87860300,88809200,89759500,90728900,91703800
"Population, total",SP.POP.TOTL,World,WLD,3991194334,4065954672,4138731185,4211259460,4285061775,4360572310,4436734568,4514655817,4595487517,4677020244,4758310418,4841376791,4927207009,5015267869,5104205218,5193123373,5283057867,5369889993,5453473436,5537776461,5621146521,5705843054,5788596142,5871549366,5953672500,6034911639,6115444311,6195589560,6274734084,6353976427,6433748714,6513959904,6594722462,6675832678,6758302523,6840955706,6923684085,7006907989,7089451551,7176092192,7260780278,7346633037
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,6626208,6793979,6994840,7226885,7485921,7765087,8059381,8369708,8698304,9043210,9402070,9774242,10153613,10542601,10958983,11426912,11961099,12571240,13245003,13948118,14633091,15266147,15834747,16349809,16829935,17304422,17795219,18306287,18832097,19374012,19931617,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792,25533217,26183676,26832215
"Population, total",SP.POP.TOTL,Zambia,ZMB,4810810,4983017,5160570,5343550,5532350,5727577,5929497,6138069,6352561,6571673,6793708,7017292,7242496,7469270,7696070,7921028,8143142,8361381,8576987,8794061,9018229,9253527,9502346,9763742,10034412,10309310,10585220,10861238,11139978,11426006,11725635,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086,15721343,16211767
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,5967861,6170284,6373956,6580739,6796946,7031159,7289083,7571965,7876414,8197564,8528328,8862601,9198874,9535657,9866776,10184966,10484771,10763036,11019717,11256512,11476807,11683136,11877664,12059858,12226742,12374019,12499981,12603988,12691431,12774162,12867828,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482,14898092,15245855,15602751
